scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S0524-97672002000100007,0524-9767,0524-9767;1850-2563,Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani,article-commentary,NA,NA,2002,2009,Human Sciences
S1668-81042007000100008,1668-8104,1668-8104,Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy,research-article,NA,NA,2007,2009,Applied Social Sciences;Human Sciences
S1667-782X2007000100016,1667-782X,1667-782X,Ecología austral,brief-report,2005,2007,2007,2009,Biological Sciences
S0325-75412008000400007,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,rapid-communication,2008,2008,2008,2009,Biological Sciences
S1850-15322008000300014,1850-1532,1850-1532,Revista argentina de neurocirugía,research-article,NA,NA,2008,2009,Health Sciences
S1851-17402008000200009,1851-1740,1514-8327;1851-1740,"Información, cultura y sociedad",book-review,NA,NA,2008,2009,Applied Social Sciences
S0327-07932004000100010,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2001,2003,2004,2009,Exact and Earth Sciences
S0327-07932002000400008,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,NA,NA,2002,2009,Exact and Earth Sciences
S0327-07932003000300009,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,NA,NA,2003,2009,Exact and Earth Sciences
S0327-07932003000300018,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,NA,NA,2003,2009,Exact and Earth Sciences
S0325-75412009000100006,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,research-article,NA,NA,2009,2009,Biological Sciences
S1851-30342009000300004,1851-3034,1851-3034,Revista argentina de endocrinología y metabolismo,review-article,NA,NA,2009,2009,Health Sciences
S1669-32482008000200014,1669-3248,1669-3248,Revista argentina de sociología,research-article,2008,2008,2008,2009,Human Sciences
S0325-29572006000400006,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,research-article,NA,NA,2006,2009,Biological Sciences;Health Sciences
S0002-70142006000200015,0002-7014,0002-7014;1851-8044,Ameghiniana,research-article,2004,2005,2006,2010,Exact and Earth Sciences
S1850-37482006000300010,1850-3748,1850-3748,Revista argentina de cardiología,brief-report,NA,NA,2006,2010,Health Sciences
S1850-373X2007000100001,1850-373X,1850-373X,Intersecciones en antropología,news,NA,NA,2007,2010,Human Sciences
S1851-28792008000100013,1851-2879,1851-2879,Quinto sol,book-review,NA,NA,2008,2010,Human Sciences
S1852-44782006000200006,1852-4478,1852-4478,Olivar,research-article,NA,NA,2006,2010,"Linguistics, Letters and Arts"
S1850-15322007000100001,1850-1532,1850-1532,Revista argentina de neurocirugía,editorial,NA,NA,2007,2010,Health Sciences
S0025-76802007000200004,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2006,2006,2007,2010,Health Sciences
S0325-00752010000100018,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,case-report,2009,2009,2010,2010,Health Sciences
S0325-00752008000400012,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,undefined,NA,NA,2008,2010,Health Sciences
