scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S0524-97672007000100010,0524-9767,0524-9767;1850-2563,Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani,book-review,NA,NA,2007,2009,Human Sciences
S1668-80902006000100016,1668-8090,1668-8090,Andes,book-review,NA,NA,2006,2009,Human Sciences
S0325-75412009000200004,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,research-article,2008,2009,2009,2009,Biological Sciences
S0327-07932005000100006,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,NA,NA,2005,2009,Exact and Earth Sciences
S0041-69322005000200004,0041-6932,0041-6932;1669-9637,Revista de la Unión Matemática Argentina,research-article,2005,2006,2005,2009,Exact and Earth Sciences
S0373-56802006000100006,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2005,2006,2006,2009,Biological Sciences
S1667-782X2007000200001,1667-782X,1667-782X,Ecología austral,research-article,2007,2007,2007,2009,Biological Sciences
S1851-17402004000100004,1851-1740,1514-8327;1851-1740,"Información, cultura y sociedad",research-article,2004,2004,2004,2009,Applied Social Sciences
S1669-32482006000200004,1669-3248,1669-3248,Revista argentina de sociología,research-article,NA,NA,2006,2009,Human Sciences
S1851-56572008000100018,1851-5657,1851-5657,Phyton (Buenos Aires),research-article,2008,2008,2008,2009,Biological Sciences
S0373-56802004000200013,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2003,2004,2004,2009,Biological Sciences
S1851-56572004000100017,1851-5657,1851-5657,Phyton (Buenos Aires),research-article,2003,2003,2004,2009,Biological Sciences
S1851-17402006000200003,1851-1740,1514-8327;1851-1740,"Información, cultura y sociedad",research-article,2006,2006,2006,2009,Applied Social Sciences
S0325-29572006000200016,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,undefined,NA,NA,2006,2009,Biological Sciences;Health Sciences
S0002-70142006000200005,0002-7014,0002-7014;1851-8044,Ameghiniana,research-article,2004,2005,2006,2010,Exact and Earth Sciences
S1850-37482006000600014,1850-3748,1850-3748,Revista argentina de cardiología,case-report,2006,2006,2006,2010,Health Sciences
S0025-76802009000200016,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,NA,NA,2009,2010,Health Sciences
S1852-38622008000100014,1852-3862,1852-3862,Insuficiencia cardíaca,brief-report,NA,NA,2008,2010,Health Sciences
S1852-44782008000200014,1852-4478,1852-4478,Olivar,research-article,NA,NA,2008,2010,"Linguistics, Letters and Arts"
S0325-00752008000500005,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,research-article,2008,2008,2008,2010,Health Sciences
S1850-15322007000100008,1850-1532,1850-1532,Revista argentina de neurocirugía,research-article,2007,2007,2007,2010,Health Sciences
S0325-00752007000500009,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,rapid-communication,NA,NA,2007,2010,Health Sciences
S0325-00752006000500011,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,rapid-communication,NA,NA,2006,2010,Health Sciences
S0325-29572004000200006,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,research-article,NA,NA,2004,2010,Biological Sciences;Health Sciences
S1853-001X2008000100009,1853-001X,1853-001X,Mora (Buenos Aires),book-review,NA,NA,2008,2010,Applied Social Sciences;Human Sciences
S1850-15322006000400009,1850-1532,1850-1532,Revista argentina de neurocirugía,book-review,NA,NA,2006,2010,Health Sciences
S0011-67932004000100001,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2003,2004,2004,2010,Biological Sciences
S1851-17242008000100008,1851-1724,1851-1724,Circe de clásicos y modernos,research-article,2008,2008,2008,2010,"Human Sciences;Linguistics, Letters and Arts"
S0327-07932009000400006,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2008,2008,2009,2010,Exact and Earth Sciences
S1852-74342010000200010,1852-7434,1852-7434,Revista de la Asociación Argentina de Ortopedia y Traumatología,research-article,2009,2010,2010,2011,Health Sciences
S1852-77442010000100002,1852-7744,1852-7744,Geoacta,undefined,NA,NA,2010,2011,Exact and Earth Sciences
S1851-82652010000200005,1851-8265,1669-2381;1851-8265,Salud colectiva,research-article,2009,2010,2010,2011,Health Sciences
S1852-04992010000100001,1852-0499,1852-0499,Prismas,research-article,NA,NA,2010,2011,Human Sciences
S0004-48222003000200010,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2001,2003,2003,2011,Exact and Earth Sciences
S0004-48222007000300018,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,brief-report,NA,NA,2007,2011,Exact and Earth Sciences
S1667-782X2010000200011,1667-782X,1667-782X,Ecología austral,rapid-communication,2009,2010,2010,2011,Biological Sciences
S1852-62332010000100001,1852-6233,1852-6233,BAG. Journal of basic and applied genetics,research-article,NA,NA,2010,2011,Biological Sciences;Health Sciences
S0327-95452008000100006,0327-9545,0327-9545;1667-5746,Biocell,research-article,2007,2007,2008,2011,Biological Sciences
S1668-34982010000200001,1668-3498,1668-3498,InVet,research-article,2010,2011,2010,2011,Biological Sciences
S0327-93832008000200025,0327-9383,0327-9383;1666-0536,Mastozoología neotropical,review-article,NA,NA,2008,2011,Biological Sciences
S1851-16862007000100044,1851-1686,1851-1686,Anuario de investigaciones,research-article,2006,2007,2007,2011,Human Sciences
S1851-16942008000200006,1851-1694,1851-1694,Avá,research-article,2007,2008,2008,2011,Applied Social Sciences
