scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S1668-81042008000100013,1668-8104,1668-8104,Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy,research-article,NA,NA,2008,2009,Applied Social Sciences;Human Sciences
S1850-275X2005000200002,1850-275X,1850-275X,Cuadernos de antropología social,rapid-communication,NA,NA,2005,2009,Human Sciences
S0325-75412005000100004,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,rapid-communication,2004,2005,2005,2009,Biological Sciences
S0073-34072003000100007,0073-3407,0073-3407;1850-4884,El hornero,rapid-communication,2003,2003,2003,2009,Biological Sciences
S0011-67932006000200001,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2006,2006,2006,2009,Biological Sciences
S0325-75412009000300004,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,research-article,2009,2009,2009,2009,Biological Sciences
S1667-782X2005000100005,1667-782X,1667-782X,Ecología austral,research-article,2003,2004,2005,2009,Biological Sciences
S1668-70272006000100005,1668-7027,1668-7027,Interdisciplinaria,research-article,2005,2005,2006,2009,Human Sciences
S1851-17322005000300003,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2004,2005,2005,2009,Applied Social Sciences
S1850-00132008000100013,1850-0013,1850-0013,Revista iberoamericana de ciencia tecnología y sociedad,research-article,NA,NA,2008,2009,Human Sciences
S1667-782X2007000200005,1667-782X,1667-782X,Ecología austral,research-article,2005,2007,2007,2009,Biological Sciences
S1850-00132008000200004,1850-0013,1850-0013,Revista iberoamericana de ciencia tecnología y sociedad,article-commentary,NA,NA,2008,2009,Human Sciences
S1851-30342009000300006,1851-3034,1851-3034,Revista argentina de endocrinología y metabolismo,research-article,NA,NA,2009,2009,Health Sciences
S0325-29572007000400006,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,research-article,NA,NA,2007,2009,Biological Sciences;Health Sciences
S1850-37482008000500007,1850-3748,1850-3748,Revista argentina de cardiología,research-article,2008,2008,2008,2010,Health Sciences
S1850-37482008000500015,1850-3748,1850-3748,Revista argentina de cardiología,case-report,2007,2008,2008,2010,Health Sciences
S0025-76802009000200012,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),review-article,NA,NA,2009,2010,Health Sciences
S1852-38622008000300005,1852-3862,1852-3862,Insuficiencia cardíaca,undefined,NA,NA,2008,2010,Health Sciences
S1852-44782008000200006,1852-4478,1852-4478,Olivar,research-article,NA,NA,2008,2010,"Linguistics, Letters and Arts"
S0325-29572009000200002,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,undefined,NA,NA,2009,2010,Biological Sciences;Health Sciences
S0025-76802007000700013,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),review-article,NA,NA,2007,2010,Health Sciences
S0025-76802006000500008,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),rapid-communication,2006,2006,2006,2010,Health Sciences
S0025-76802007000100019,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),letter,NA,NA,2007,2010,Health Sciences
S1853-001X2007000100003,1853-001X,1853-001X,Mora (Buenos Aires),research-article,NA,NA,2007,2010,Applied Social Sciences;Human Sciences
S1853-001X2008000100002,1853-001X,1853-001X,Mora (Buenos Aires),research-article,2006,2007,2008,2010,Applied Social Sciences;Human Sciences
S1853-19702009000100001,1853-1970,1853-1970,Revista SAAP,research-article,NA,NA,2009,2010,Applied Social Sciences
S0011-67932004000100016,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2003,2004,2004,2010,Biological Sciences
S1852-38622009000100004,1852-3862,1852-3862,Insuficiencia cardíaca,review-article,NA,NA,2009,2010,Health Sciences
S0327-07932009000400012,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2008,2008,2009,2010,Exact and Earth Sciences
S1852-74342009000100017,1852-7434,1852-7434,Revista de la Asociación Argentina de Ortopedia y Traumatología,research-article,NA,NA,2009,2011,Health Sciences
S1851-30342010000400006,1851-3034,1851-3034,Revista argentina de endocrinología y metabolismo,case-report,NA,NA,2010,2011,Health Sciences
S1851-82652010000300004,1851-8265,1669-2381;1851-8265,Salud colectiva,research-article,2010,2010,2010,2011,Health Sciences
S0025-76802010000400013,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),case-report,NA,NA,2010,2011,Health Sciences
S0004-48222008000100006,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2007,2007,2008,2011,Exact and Earth Sciences
S0004-48222007000400011,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2006,2007,2007,2011,Exact and Earth Sciences
S0328-12052010000100010,0328-1205,0328-1205;1851-779X,Synthesis (La Plata),book-review,NA,NA,2010,2011,"Human Sciences;Linguistics, Letters and Arts"
S1851-17162008000200002,1851-1716,1851-1716,"Ciencia, docencia y tecnología",research-article,NA,NA,2008,2011,Human Sciences
S1851-46692009000100003,1851-4669,1851-4669,Anclajes,research-article,2008,2008,2009,2011,"Linguistics, Letters and Arts"
S0325-75412011000200001,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,editorial,NA,NA,2011,2011,Biological Sciences
S0327-93832005000100003,0327-9383,0327-9383;1666-0536,Mastozoología neotropical,research-article,2004,2005,2005,2011,Biological Sciences
S1669-57042015000100001,1669-5704,1669-5704,La aljaba,research-article,NA,NA,2015,2016,Human Sciences
S1851-16942006000100011,1851-1694,1851-1694,Avá,book-review,NA,NA,2006,2011,Applied Social Sciences
S1850-37482011000200016,1850-3748,1850-3748,Revista argentina de cardiología,case-report,2010,2010,2011,2011,Health Sciences
S1851-75872009000100009,1851-7587,1851-7587,Revista de Ciencia y Tecnología,research-article,2008,2009,2009,2011,Engineering
S1852-73292010000200003,1852-7329,1852-7329,Multequina,research-article,2010,2010,2010,2011,Agricultural Sciences;Biological Sciences
S1853-001X2011000200006,1853-001X,1853-001X,Mora (Buenos Aires),brief-report,NA,NA,2011,2011,Applied Social Sciences;Human Sciences
S1851-37512011000200007,1851-3751,1851-3751,Memoria americana,book-review,NA,NA,2011,2011,Human Sciences
S1852-99922011000400009,1852-9992,1852-9992,Revista argentina de radiología,research-article,2011,2011,2011,2012,Health Sciences
S0325-00752012000100002,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,article-commentary,NA,NA,2012,2012,Health Sciences
S0025-76802011000800005,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2011,2011,2011,2012,Health Sciences
S0025-76802012000200005,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2011,2012,2012,2012,Health Sciences
S0025-76802011000600003,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2010,2011,2011,2012,Health Sciences
S1852-73292011000100002,1852-7329,1852-7329,Multequina,research-article,2011,2011,2011,2012,Agricultural Sciences;Biological Sciences
S1668-34982011000200004,1668-3498,1668-3498,InVet,research-article,2011,2011,2011,2012,Biological Sciences
S2250-639X2012000200008,2250-639X,2250-639X;2250-639X,Revista argentina de cirugía,brief-report,NA,NA,2012,2012,Health Sciences
S1852-236X2011000100007,1852-236X,1852-236X,Revista americana de medicina respiratoria,research-article,NA,NA,2011,2012,Health Sciences
S1851-37512012000100006,1851-3751,1851-3751,Memoria americana,article-commentary,NA,NA,2012,2012,Human Sciences
S1851-37512012000200002,1851-3751,1851-3751,Memoria americana,research-article,2011,2012,2012,2013,Human Sciences
S1852-62332012000200015,1852-6233,1852-6233,BAG. Journal of basic and applied genetics,research-article,NA,NA,2012,2013,Biological Sciences;Health Sciences
S1851-17322012000500010,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2012,2012,2012,2013,Applied Social Sciences
S1666-485X2012000200005,1666-485X,1666-485X;1668-723X,Tópicos,research-article,2012,2012,2012,2013,Human Sciences
S1852-96152012000100001,1852-9615,1852-9615,Cuadernos del CILHA,editorial,NA,NA,2012,2013,"Linguistics, Letters and Arts"
S1850-66662012000100001,1850-6666,1850-6666,Revista electrónica de investigación en educación en ciencias,research-article,NA,NA,2012,2013,Human Sciences
S0373-56802013000100012,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2012,2013,2013,2013,Biological Sciences
S0325-00752013000500018,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,research-article,NA,NA,2013,2013,Health Sciences
S1853-35232013000100016,1853-3523,1853-3523,Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos,research-article,2012,2012,2013,2013,"Applied Social Sciences;Linguistics, Letters and Arts"
S1669-23142012000200015,1669-2314,1669-2314,RIA. Revista de investigaciones agropecuarias,research-article,2010,2012,2012,2013,Agricultural Sciences
