scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S1668-298X2007000200003,1668-298X,1668-298X,Agriscientia,research-article,2006,2007,2007,2009,Agricultural Sciences
S1850-20672007000200005,1850-2067,1850-2067,Ciencia del suelo,research-article,2007,2007,2007,2009,Agricultural Sciences
S0073-34072007000100007,0073-3407,0073-3407;1850-4884,El hornero,rapid-communication,2006,2006,2007,2009,Biological Sciences
S1851-56572008000100004,1851-5657,1851-5657,Phyton (Buenos Aires),research-article,2007,2008,2008,2009,Biological Sciences
S1515-59942001000200002,1515-5994,1515-5994,Mundo agrario,research-article,NA,NA,2001,2009,Applied Social Sciences;Human Sciences
S0327-07932005000200009,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,NA,NA,2005,2009,Exact and Earth Sciences
S0025-76802003000600012,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2003,2003,2003,2009,Health Sciences
S0011-67932007000200008,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2007,2007,2007,2009,Biological Sciences
S0373-56802007000100003,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2006,2006,2007,2009,Biological Sciences
S0025-76802006000600004,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2005,2006,2006,2009,Health Sciences
S1850-15322008000300015,1850-1532,1850-1532,Revista argentina de neurocirugía,abstract,NA,NA,2008,2009,Health Sciences
S1851-17402002000200006,1851-1740,1514-8327;1851-1740,"Información, cultura y sociedad",brief-report,2002,2002,2002,2009,Applied Social Sciences
S1851-30342008000400006,1851-3034,1851-3034,Revista argentina de endocrinología y metabolismo,brief-report,NA,NA,2008,2009,Health Sciences
S0325-29572006000100007,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,research-article,NA,NA,2006,2009,Biological Sciences;Health Sciences
S1850-37482009000100014,1850-3748,1850-3748,Revista argentina de cardiología,article-commentary,NA,NA,2009,2010,Health Sciences
S1850-37482009000300002,1850-3748,1850-3748,Revista argentina de cardiología,editorial,NA,NA,2009,2010,Health Sciences
S0073-34072008000100002,0073-3407,0073-3407;1850-4884,El hornero,research-article,2007,2008,2008,2010,Biological Sciences
S1852-38622008000200001,1852-3862,1852-3862,Insuficiencia cardíaca,editorial,NA,NA,2008,2010,Health Sciences
S1852-44782007000100010,1852-4478,1852-4478,Olivar,book-review,NA,NA,2007,2010,"Linguistics, Letters and Arts"
S0025-76802008000500010,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),editorial,NA,NA,2008,2010,Health Sciences
S1851-300X2006000100003,1851-300X,1851-300X,Revista argentina de dermatología,research-article,2005,2006,2006,2010,Health Sciences
S0025-76802006000500006,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2006,2006,2006,2010,Health Sciences
S0025-76802006000300012,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),case-report,2005,2005,2006,2010,Health Sciences
S1667-782X2010000100008,1667-782X,1667-782X,Ecología austral,rapid-communication,2009,2010,2010,2010,Biological Sciences
S1853-19702010000200002,1853-1970,1853-1970,Revista SAAP,research-article,NA,NA,2010,2010,Applied Social Sciences
S1852-73102010000100009,1852-7310,1852-7310,Subjetividad y procesos cognitivos,research-article,2009,2009,2010,2010,Human Sciences
S1851-17242007000100011,1851-1724,1851-1724,Circe de clásicos y modernos,research-article,2007,2007,2007,2010,"Human Sciences;Linguistics, Letters and Arts"
S1850-275X2009000100005,1850-275X,1850-275X,Cuadernos de antropología social,research-article,2009,2009,2009,2010,Human Sciences
S1851-300X2009000300007,1851-300X,1851-300X,Revista argentina de dermatología,article-commentary,NA,NA,2009,2010,Health Sciences
S1852-74342009000100003,1852-7434,1852-7434,Revista de la Asociación Argentina de Ortopedia y Traumatología,research-article,2008,2009,2009,2011,Health Sciences
S1851-30342010000400001,1851-3034,1851-3034,Revista argentina de endocrinología y metabolismo,research-article,NA,NA,2010,2011,Health Sciences
S1850-20672005000100007,1850-2067,1850-2067,Ciencia del suelo,research-article,2004,2005,2005,2011,Agricultural Sciences
S1515-59942010000200007,1515-5994,1515-5994,Mundo agrario,research-article,2010,2010,2010,2011,Applied Social Sciences;Human Sciences
S0004-48222006000400011,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2006,2006,2006,2011,Exact and Earth Sciences
S0004-48222009000800018,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2009,2009,2009,2011,Exact and Earth Sciences
S0328-12052010000100004,0328-1205,0328-1205;1851-779X,Synthesis (La Plata),research-article,NA,NA,2010,2011,"Human Sciences;Linguistics, Letters and Arts"
S1852-38622011000100004,1852-3862,1852-3862,Insuficiencia cardíaca,review-article,2011,2011,2011,2011,Health Sciences
S1851-46692009000200011,1851-4669,1851-4669,Anclajes,book-review,NA,NA,2009,2011,"Linguistics, Letters and Arts"
S0325-75412011000200011,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,research-article,2010,2011,2011,2011,Biological Sciences
S0327-93832004000100010,0327-9383,0327-9383;1666-0536,Mastozoología neotropical,research-article,2003,2003,2004,2011,Biological Sciences
S1851-16862007000100054,1851-1686,1851-1686,Anuario de investigaciones,research-article,2007,2007,2007,2011,Human Sciences
S1851-16942008000100007,1851-1694,1851-1694,Avá,research-article,2007,2008,2008,2011,Applied Social Sciences
S1852-38622011000200006,1852-3862,1852-3862,Insuficiencia cardíaca,case-report,2011,2011,2011,2011,Health Sciences
S1850-66662009000300001,1850-6666,1850-6666,Revista electrónica de investigación en educación en ciencias,research-article,NA,NA,2009,2011,Human Sciences
