scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S1668-81042003000100003,1668-8104,1668-8104,Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy,research-article,NA,NA,2003,2009,Applied Social Sciences;Human Sciences
S1668-81042006000200006,1668-8104,1668-8104,Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy,research-article,NA,NA,2006,2009,Applied Social Sciences;Human Sciences
S0327-50942006000100013,0327-5094,0327-5094;1850-2628,Temas medievales,book-review,NA,NA,2006,2009,"Human Sciences;Linguistics, Letters and Arts"
S1851-17402004000200004,1851-1740,1514-8327;1851-1740,"Información, cultura y sociedad",research-article,2004,2004,2004,2009,Applied Social Sciences
S0327-07932004000100005,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2000,2001,2004,2009,Exact and Earth Sciences
S0073-34072003000100008,0073-3407,0073-3407;1850-4884,El hornero,rapid-communication,2003,2003,2003,2009,Biological Sciences
S0025-76802003000400004,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2002,2003,2003,2009,Health Sciences
S0373-56802007000200022,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2007,2007,2007,2009,Biological Sciences
S0373-56802006000100012,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2006,2006,2006,2009,Biological Sciences
S0011-67932006000100007,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2005,2006,2006,2009,Biological Sciences
S1851-56572007000100007,1851-5657,1851-5657,Phyton (Buenos Aires),research-article,2007,2007,2007,2009,Biological Sciences
S1668-34982005000100006,1668-3498,1668-3498,InVet,research-article,2004,2005,2005,2009,Biological Sciences
S1851-300X2008000300005,1851-300X,1851-300X,Revista argentina de dermatología,undefined,NA,NA,2008,2009,Health Sciences
S0325-29572006000200012,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,book-review,NA,NA,2006,2009,Biological Sciences;Health Sciences
S1850-37482007000400011,1850-3748,1850-3748,Revista argentina de cardiología,case-report,NA,NA,2007,2010,Health Sciences
S1850-37482007000500012,1850-3748,1850-3748,Revista argentina de cardiología,review-article,NA,NA,2007,2010,Health Sciences
S0073-34072008000100004,0073-3407,0073-3407;1850-4884,El hornero,research-article,2006,2008,2008,2010,Biological Sciences
S1851-17322010000200007,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2009,2009,2010,2010,Applied Social Sciences
S1853-63792012000100011,1853-6379,1853-6379,Argos,book-review,NA,NA,2012,2012,Human Sciences
S0025-76802005000400001,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2005,2005,2005,2010,Health Sciences
S0325-00752010000100007,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,research-article,2009,2009,2010,2010,Health Sciences
S0025-76802008000100004,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2006,2007,2008,2010,Health Sciences
S0025-76802004000300001,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2003,2003,2004,2010,Health Sciences
S1667-782X2010000100002,1667-782X,1667-782X,Ecología austral,research-article,2009,2010,2010,2010,Biological Sciences
S1853-001X2008000100012,1853-001X,1853-001X,Mora (Buenos Aires),book-review,NA,NA,2008,2010,Applied Social Sciences;Human Sciences
S1850-15322006000400006,1850-1532,1850-1532,Revista argentina de neurocirugía,undefined,2006,2006,2006,2010,Health Sciences
S1852-74342010000100012,1852-7434,1852-7434,Revista de la Asociación Argentina de Ortopedia y Traumatología,case-report,NA,NA,2010,2010,Health Sciences
S1667-782X2003000100001,1667-782X,1667-782X,Ecología austral,editorial,NA,NA,2003,2010,Biological Sciences
S1851-96362008000200005,1851-9636,1851-9636,Análisis filosófico,research-article,NA,NA,2008,2010,Human Sciences
S1852-74342009000100014,1852-7434,1852-7434,Revista de la Asociación Argentina de Ortopedia y Traumatología,research-article,2008,2009,2009,2011,Health Sciences
S1851-30342010000400007,1851-3034,1851-3034,Revista argentina de endocrinología y metabolismo,case-report,NA,NA,2010,2011,Health Sciences
S1851-82652010000300008,1851-8265,1669-2381;1851-8265,Salud colectiva,editorial,NA,NA,2010,2011,Health Sciences
S1515-59942010000200014,1515-5994,1515-5994,Mundo agrario,research-article,2009,2010,2010,2011,Applied Social Sciences;Human Sciences
S0004-48222008000100008,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2007,2007,2008,2011,Exact and Earth Sciences
S0004-48222007000200007,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2006,2006,2007,2011,Exact and Earth Sciences
S1853-63602003000200004,1853-6360,1853-6360;0328-1159,Revista de la Asociación Argentina de Sedimentología,research-article,2003,2003,2003,2011,Exact and Earth Sciences
S1851-17402010000200008,1851-1740,1514-8327;1851-1740,"Información, cultura y sociedad",book-review,NA,NA,2010,2011,Applied Social Sciences
S1851-46692009000200004,1851-4669,1851-4669,Anclajes,research-article,2008,2009,2009,2011,"Linguistics, Letters and Arts"
S0325-75412011000200010,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,research-article,2010,2011,2011,2011,Biological Sciences
S0327-93832005000100015,0327-9383,0327-9383;1666-0536,Mastozoología neotropical,book-review,NA,NA,2005,2011,Biological Sciences
S1851-16862006000100051,1851-1686,1851-1686,Anuario de investigaciones,research-article,2005,2006,2006,2011,Human Sciences
S1851-16942008000200004,1851-1694,1851-1694,Avá,research-article,2007,2008,2008,2011,Applied Social Sciences
