scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S1850-275X2006000200004,1850-275X,1850-275X,Cuadernos de antropología social,research-article,NA,NA,2006,2009,Human Sciences
S1668-80902006000100007,1668-8090,1668-8090,Andes,article-commentary,NA,NA,2006,2009,Human Sciences
S0041-69322006000200012,0041-6932,0041-6932;1669-9637,Revista de la Unión Matemática Argentina,research-article,2005,2006,2006,2009,Exact and Earth Sciences
S0327-50942008000100008,0327-5094,0327-5094;1850-2628,Temas medievales,book-review,NA,NA,2008,2009,"Human Sciences;Linguistics, Letters and Arts"
S0025-76802003000500011,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),case-report,NA,NA,2003,2009,Health Sciences
S0373-56802004000200003,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2003,2004,2004,2009,Biological Sciences
S1669-32482006000100008,1669-3248,1669-3248,Revista argentina de sociología,research-article,NA,NA,2006,2009,Human Sciences
S1850-00132006000100006,1850-0013,1850-0013,Revista iberoamericana de ciencia tecnología y sociedad,research-article,NA,NA,2006,2009,Human Sciences
S1851-56572007000100006,1851-5657,1851-5657,Phyton (Buenos Aires),research-article,2007,2007,2007,2009,Biological Sciences
S1850-373X2004000100003,1850-373X,1850-373X,Intersecciones en antropología,research-article,2002,2004,2004,2009,Human Sciences
S1667-782X2005000200002,1667-782X,1667-782X,Ecología austral,article-commentary,NA,NA,2005,2009,Biological Sciences
S1850-00132005000200013,1850-0013,1850-0013,Revista iberoamericana de ciencia tecnología y sociedad,book-review,NA,NA,2005,2009,Human Sciences
S1668-34982007000100005,1668-3498,1668-3498,InVet,research-article,2006,2006,2007,2009,Biological Sciences
S0325-29572008000200011,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,research-article,NA,NA,2008,2009,Biological Sciences;Health Sciences
S1850-37482007000400006,1850-3748,1850-3748,Revista argentina de cardiología,research-article,2007,2007,2007,2010,Health Sciences
S1850-37482007000400001,1850-3748,1850-3748,Revista argentina de cardiología,editorial,NA,NA,2007,2010,Health Sciences
S0025-76802009000200007,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,NA,NA,2009,2010,Health Sciences
S1852-38622009000300009,1852-3862,1852-3862,Insuficiencia cardíaca,case-report,2009,2009,2009,2010,Health Sciences
S1852-44782009000100017,1852-4478,1852-4478,Olivar,book-review,NA,NA,2009,2010,"Linguistics, Letters and Arts"
S0325-00752005000300009,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,rapid-communication,NA,NA,2005,2010,Health Sciences
S1850-37482005000400004,1850-3748,1850-3748,Revista argentina de cardiología,research-article,2004,2005,2005,2010,Health Sciences
S0025-76802005000400008,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),rapid-communication,2005,2005,2005,2010,Health Sciences
S0025-76802004000300008,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2004,2004,2004,2010,Health Sciences
S0325-00752006000500003,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,research-article,NA,NA,2006,2010,Health Sciences
S1851-96362009000200010,1851-9636,1851-9636,Análisis filosófico,research-article,NA,NA,2009,2010,Human Sciences
S1850-15322006000400010,1850-1532,1850-1532,Revista argentina de neurocirugía,brief-report,NA,NA,2006,2010,Health Sciences
S0011-67932004000100006,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2004,2004,2004,2010,Biological Sciences
S1668-298X2006000200004,1668-298X,1668-298X,Agriscientia,research-article,2006,2006,2006,2010,Agricultural Sciences
S0327-07932009000400009,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2007,2008,2009,2010,Exact and Earth Sciences
S1852-74342010000200008,1852-7434,1852-7434,Revista de la Asociación Argentina de Ortopedia y Traumatología,research-article,2009,2010,2010,2011,Health Sciences
S1852-77442010000100006,1852-7744,1852-7744,Geoacta,research-article,NA,NA,2010,2011,Exact and Earth Sciences
S1850-20672005000100012,1850-2067,1850-2067,Ciencia del suelo,brief-report,2004,2005,2005,2011,Agricultural Sciences
S1515-59942010000200006,1515-5994,1515-5994,Mundo agrario,research-article,2009,2010,2010,2011,Applied Social Sciences;Human Sciences
S0004-48222008000400011,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2008,2008,2008,2011,Exact and Earth Sciences
S0004-48222008000100002,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2006,2007,2008,2011,Exact and Earth Sciences
S1853-63602003000200003,1853-6360,1853-6360;0328-1159,Revista de la Asociación Argentina de Sedimentología,research-article,2003,2003,2003,2011,Exact and Earth Sciences
S1852-62332010000100004,1852-6233,1852-6233,BAG. Journal of basic and applied genetics,research-article,NA,NA,2010,2011,Biological Sciences;Health Sciences
S1851-46692010000200008,1851-4669,1851-4669,Anclajes,book-review,NA,NA,2010,2011,"Linguistics, Letters and Arts"
S1851-31232010000100011,1851-3123,1851-3123,Revista Pilquen,research-article,2010,2010,2010,2011,"Applied Social Sciences;Linguistics, Letters and Arts"
S0327-93832006000100005,0327-9383,0327-9383;1666-0536,Mastozoología neotropical,research-article,2005,2006,2006,2011,Biological Sciences
S1851-16862009000100034,1851-1686,1851-1686,Anuario de investigaciones,research-article,2009,2009,2009,2011,Human Sciences
S1851-16942009000100008,1851-1694,1851-1694,Avá,research-article,2008,2009,2009,2011,Applied Social Sciences
S1850-37482011000100003,1850-3748,1850-3748,Revista argentina de cardiología,editorial,NA,NA,2011,2011,Health Sciences
S1850-66662009000200004,1850-6666,1850-6666,Revista electrónica de investigación en educación en ciencias,research-article,NA,NA,2009,2011,Human Sciences
S1850-20672011000100001,1850-2067,1850-2067,Ciencia del suelo,research-article,2010,2010,2011,2011,Agricultural Sciences
S1853-001X2011000200008,1853-001X,1853-001X,Mora (Buenos Aires),brief-report,NA,NA,2011,2011,Applied Social Sciences;Human Sciences
S1852-04992011000200017,1852-0499,1852-0499,Prismas,review-article,NA,NA,2011,2011,Human Sciences
S0002-70142010000100009,0002-7014,0002-7014;1851-8044,Ameghiniana,brief-report,2009,2009,2010,2012,Exact and Earth Sciences
S1852-38622006000100009,1852-3862,1852-3862,Insuficiencia cardíaca,article-commentary,NA,NA,2006,2012,Health Sciences
S1668-80902009000200003,1668-8090,1668-8090,Andes,research-article,NA,NA,2009,2012,Human Sciences
S0025-76802012000200021,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),letter,NA,NA,2012,2012,Health Sciences
S0524-97672012000100011,0524-9767,0524-9767;1850-2563,Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani,book-review,NA,NA,2012,2012,Human Sciences
S1666-94792012000100011,1666-9479,1666-9479,Serie correlación geológica,research-article,2011,2011,2012,2012,Exact and Earth Sciences
S1668-34982011000200011,1668-3498,1668-3498,InVet,research-article,2011,2011,2011,2012,Biological Sciences
S1852-59622012000100005,1852-5962,1852-5962,Kurtziana,research-article,2011,2012,2012,2012,Biological Sciences
S2313-92772011000200009,2313-9277,2313-9277,Historia de la educación - anuario,book-review,NA,NA,2011,2012,Human Sciences
S1851-37512012000100002,1851-3751,1851-3751,Memoria americana,research-article,NA,NA,2012,2012,Human Sciences
S1850-373X2012000200015,1850-373X,1850-373X,Intersecciones en antropología,research-article,2011,2011,2012,2013,Human Sciences
S1852-99922012000400009,1852-9992,1852-9992,Revista argentina de radiología,brief-report,NA,NA,2012,2013,Health Sciences
S1668-70272012000100007,1668-7027,1668-7027,Interdisciplinaria,research-article,NA,NA,2012,2013,Human Sciences
S0025-76802013000200001,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2012,2012,2013,2013,Health Sciences
S1850-275X2012000200001,1850-275X,1850-275X,Cuadernos de antropología social,editorial,NA,NA,2012,2013,Human Sciences
S1850-20672012000200002,1850-2067,1850-2067,Ciencia del suelo,research-article,2011,2012,2012,2013,Agricultural Sciences
S1851-82652013000200004,1851-8265,1669-2381;1851-8265,Salud colectiva,research-article,2012,2013,2013,2013,Health Sciences
S0325-00752013000500003,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,article-commentary,NA,NA,2013,2013,Health Sciences
S1853-35232013000100009,1853-3523,1853-3523,Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos,research-article,2012,2012,2013,2013,"Applied Social Sciences;Linguistics, Letters and Arts"
S1851-88932013000100004,1851-8893,1851-8893,Orientación y sociedad,research-article,2013,2013,2013,2013,Human Sciences
S1852-04992013000200009,1852-0499,1852-0499,Prismas,article-commentary,NA,NA,2013,2014,Human Sciences
S1851-00272013000200014,1851-0027,1851-0027,Comechingonia,book-review,NA,NA,2013,2014,Human Sciences
S1668-80902013000200001,1668-8090,1668-8090,Andes,research-article,2011,2012,2013,2014,Human Sciences
S1669-23142014000100009,1669-2314,1669-2314,RIA. Revista de investigaciones agropecuarias,research-article,2012,2014,2014,2014,Agricultural Sciences
S1853-984X2012000100004,1853-984X,1853-984X,Temas y Debates,research-article,2011,2012,2012,2014,Applied Social Sciences
S0327-50942012000100005,0327-5094,0327-5094;1850-2628,Temas medievales,research-article,NA,NA,2012,2014,"Human Sciences;Linguistics, Letters and Arts"
S1851-17322014000200010,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2013,2013,2014,2014,Applied Social Sciences
S0373-56802014000100008,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,brief-report,2013,2014,2014,2014,Biological Sciences
S1995-77852013000100012,1995-7785,1995-7785,Propuesta educativa,book-review,NA,NA,2013,2014,Human Sciences
S1853-35232014000100015,1853-3523,1853-3523,Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos,research-article,2012,2013,2014,2014,"Applied Social Sciences;Linguistics, Letters and Arts"
