scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S0524-97672005000200009,0524-9767,0524-9767;1850-2563,Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani,book-review,NA,NA,2005,2009,Human Sciences
S1668-81042002000100001,1668-8104,1668-8104,Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy,research-article,NA,NA,2002,2009,Applied Social Sciences;Human Sciences
S0327-07932003000100010,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,NA,NA,2003,2009,Exact and Earth Sciences
S1850-373X2005000100002,1850-373X,1850-373X,Intersecciones en antropología,brief-report,NA,NA,2005,2009,Human Sciences
S1515-59942007000100005,1515-5994,1515-5994,Mundo agrario,editorial,NA,NA,2007,2009,Applied Social Sciences;Human Sciences
S0327-07932006000200006,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2005,2006,2006,2009,Exact and Earth Sciences
S0325-75412008000200009,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,case-report,NA,NA,2008,2009,Biological Sciences
S0328-12052007000100001,0328-1205,0328-1205;1851-779X,Synthesis (La Plata),editorial,NA,NA,2007,2009,"Human Sciences;Linguistics, Letters and Arts"
S0025-76802008000600014,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),editorial,NA,NA,2008,2009,Health Sciences
S0373-56802003000100006,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2002,2003,2003,2009,Biological Sciences
S0011-67932005000100002,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2004,2005,2005,2009,Biological Sciences
S1850-373X2003000100006,1850-373X,1850-373X,Intersecciones en antropología,research-article,NA,NA,2003,2009,Human Sciences
S1851-17322007000200007,1851-1732,1851-1732,Estudios y perspectivas en turismo,book-review,NA,NA,2007,2009,Applied Social Sciences
S1852-77442008000100004,1852-7744,1852-7744,Geoacta,research-article,NA,NA,2008,2010,Exact and Earth Sciences
