scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S0524-97672005000200006,0524-9767,0524-9767;1850-2563,Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani,book-review,NA,NA,2005,2009,Human Sciences
S1850-20672007000200008,1850-2067,1850-2067,Ciencia del suelo,research-article,2007,2007,2007,2009,Agricultural Sciences
S0025-76802003000500004,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2003,2003,2003,2009,Health Sciences
S0073-34072005000100001,0073-3407,0073-3407;1850-4884,El hornero,editorial,NA,NA,2005,2009,Biological Sciences
S0373-56802008000100012,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2008,2008,2008,2009,Biological Sciences
S0025-76802004000600010,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),case-report,2004,2004,2004,2009,Health Sciences
S1851-17402008000200003,1851-1740,1514-8327;1851-1740,"Información, cultura y sociedad",research-article,2008,2008,2008,2009,Applied Social Sciences
S1667-782X2009000100005,1667-782X,1667-782X,Ecología austral,rapid-communication,2008,2009,2009,2009,Biological Sciences
S1851-30342007000300011,1851-3034,1851-3034,Revista argentina de endocrinología y metabolismo,research-article,NA,NA,2007,2009,Health Sciences
S1668-34982006000100003,1668-3498,1668-3498,InVet,research-article,2006,2006,2006,2009,Biological Sciences
S0325-75412004000400003,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,research-article,2003,2004,2004,2009,Biological Sciences
S1851-94902007000100013,1851-9490,1851-9490,Estudios de filosofía práctica e historia de las ideas,research-article,NA,NA,2007,2009,Human Sciences
S1850-00132007000100006,1850-0013,1850-0013,Revista iberoamericana de ciencia tecnología y sociedad,research-article,NA,NA,2007,2009,Human Sciences
S0325-29572008000300003,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,research-article,NA,NA,2008,2009,Biological Sciences;Health Sciences
S0002-70142007000400001,0002-7014,0002-7014;1851-8044,Ameghiniana,research-article,2005,2007,2007,2010,Exact and Earth Sciences
S1850-37482009000100004,1850-3748,1850-3748,Revista argentina de cardiología,research-article,2008,2008,2009,2010,Health Sciences
S0025-76802009000200015,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),review-article,NA,NA,2009,2010,Health Sciences
S1851-17322010000100007,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2009,2009,2010,2010,Applied Social Sciences
S1852-44782008000100005,1852-4478,1852-4478,Olivar,editorial,NA,NA,2008,2010,"Linguistics, Letters and Arts"
S0325-00752006000300013,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,rapid-communication,NA,NA,2006,2010,Health Sciences
S0025-76802008000500006,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),case-report,2008,2008,2008,2010,Health Sciences
S0325-00752009000300006,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,research-article,2008,2009,2009,2010,Health Sciences
S0325-00752006000300012,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,rapid-communication,NA,NA,2006,2010,Health Sciences
S1667-782X2010000100006,1667-782X,1667-782X,Ecología austral,research-article,2010,2010,2010,2010,Biological Sciences
S1851-96362009000200007,1851-9636,1851-9636,Análisis filosófico,research-article,NA,NA,2009,2010,Human Sciences
S1852-99922008000100006,1852-9992,1852-9992,Revista argentina de radiología,case-report,2007,2007,2008,2010,Health Sciences
S0011-67932004000100008,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2003,2004,2004,2010,Biological Sciences
S1668-70272007000200004,1668-7027,1668-7027,Interdisciplinaria,research-article,2007,2007,2007,2010,Human Sciences
S0327-07932009000400010,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2008,2008,2009,2010,Exact and Earth Sciences
S1851-49792010000100004,1851-4979,1851-4979,Latin American journal of sedimentology and basin analysis,research-article,2009,2010,2010,2011,Exact and Earth Sciences
S0325-00752011000100006,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,research-article,2010,2010,2011,2011,Health Sciences
S1851-82652010000200003,1851-8265,1669-2381;1851-8265,Salud colectiva,research-article,2010,2010,2010,2011,Health Sciences
S1852-04992010000100015,1852-0499,1852-0499,Prismas,book-review,NA,NA,2010,2011,Human Sciences
S0004-48222004000200004,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2002,2003,2004,2011,Exact and Earth Sciences
S0004-48222008000100005,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2007,2007,2008,2011,Exact and Earth Sciences
S0328-12052010000100005,0328-1205,0328-1205;1851-779X,Synthesis (La Plata),research-article,NA,NA,2010,2011,"Human Sciences;Linguistics, Letters and Arts"
S1850-468X2010000100001,1850-468X,1850-468X,Meteorologica,research-article,2010,2010,2010,2011,Exact and Earth Sciences
S0327-95452008000200003,0327-9545,0327-9545;1667-5746,Biocell,research-article,2007,2008,2008,2011,Biological Sciences
S1852-96152010000100008,1852-9615,1852-9615,Cuadernos del CILHA,research-article,2009,2009,2010,2011,"Linguistics, Letters and Arts"
S0327-93832006000200002,0327-9383,0327-9383;1666-0536,Mastozoología neotropical,research-article,2006,2006,2006,2011,Biological Sciences
S1851-16862009000100022,1851-1686,1851-1686,Anuario de investigaciones,research-article,2009,2009,2009,2011,Human Sciences
S1851-16942007000200001,1851-1694,1851-1694,Avá,research-article,NA,NA,2007,2011,Applied Social Sciences
S1850-37482011000100015,1850-3748,1850-3748,Revista argentina de cardiología,research-article,2010,2010,2011,2011,Health Sciences
S1851-75872009000200006,1851-7587,1851-7587,Revista de Ciencia y Tecnología,research-article,2009,2009,2009,2011,Engineering
S1850-37482008000300016,1850-3748,1850-3748,Revista argentina de cardiología,case-report,2007,2008,2008,2011,Health Sciences
S0004-48222011000100010,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2010,2010,2011,2011,Exact and Earth Sciences
S1851-23722005000200007,1851-2372,1851-2372,Boletín de la Sociedad Argentina de Botánica,research-article,2005,2005,2005,2011,Biological Sciences
S0325-00752011000600022,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,letter,NA,NA,2011,2012,Health Sciences
