scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S1668-80902008000100007,1668-8090,1668-8090,Andes,research-article,NA,NA,2008,2009,Human Sciences
S1668-81042007000200004,1668-8104,1668-8104,Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy,research-article,NA,NA,2007,2009,Applied Social Sciences;Human Sciences
S1668-70272005000200004,1668-7027,1668-7027,Interdisciplinaria,research-article,2003,2004,2005,2009,Human Sciences
S0041-69322005000100005,0041-6932,0041-6932;1669-9637,Revista de la Unión Matemática Argentina,research-article,2004,2005,2005,2009,Exact and Earth Sciences
S1851-300X2008000300009,1851-300X,1851-300X,Revista argentina de dermatología,article-commentary,NA,NA,2008,2009,Health Sciences
S1669-32482007000200006,1669-3248,1669-3248,Revista argentina de sociología,research-article,NA,NA,2007,2009,Human Sciences
S0327-50942004000100009,0327-5094,0327-5094;1850-2628,Temas medievales,research-article,NA,NA,2004,2009,"Human Sciences;Linguistics, Letters and Arts"
S0327-07932008000200009,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2007,2007,2008,2009,Exact and Earth Sciences
S1515-59942008000100007,1515-5994,1515-5994,Mundo agrario,rapid-communication,2007,2008,2008,2009,Applied Social Sciences;Human Sciences
S0327-07932003000400016,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,NA,NA,2003,2009,Exact and Earth Sciences
S1851-56572004000100022,1851-5657,1851-5657,Phyton (Buenos Aires),research-article,2003,2003,2004,2009,Biological Sciences
S1851-17322006000300002,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2005,2005,2006,2009,Applied Social Sciences
S1666-485X2004000100001,1666-485X,1666-485X;1668-723X,Tópicos,research-article,NA,NA,2004,2009,Human Sciences
S0325-29572006000300015,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,addendum,NA,NA,2006,2009,Biological Sciences;Health Sciences
S1850-37482009000100006,1850-3748,1850-3748,Revista argentina de cardiología,research-article,2008,2008,2009,2010,Health Sciences
S1850-37482009000100015,1850-3748,1850-3748,Revista argentina de cardiología,letter,NA,NA,2009,2010,Health Sciences
S1851-88932002000100007,1851-8893,1851-8893,Orientación y sociedad,research-article,2001,2002,2002,2010,Human Sciences
S1851-17322010000200003,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2009,2009,2010,2010,Applied Social Sciences
S1852-44782007000200021,1852-4478,1852-4478,Olivar,research-article,NA,NA,2007,2010,"Linguistics, Letters and Arts"
S1851-82652009000200003,1851-8265,1669-2381;1851-8265,Salud colectiva,research-article,2008,2009,2009,2010,Health Sciences
