scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S1851-96362006000200006,1851-9636,1851-9636,Análisis filosófico,research-article,NA,NA,2006,2009,Human Sciences
S1668-80902008000100012,1668-8090,1668-8090,Andes,research-article,NA,NA,2008,2009,Human Sciences
S1851-17322005000300004,1851-1732,1851-1732,Estudios y perspectivas en turismo,research-article,2004,2004,2005,2009,Applied Social Sciences
S0328-12052002000100008,0328-1205,0328-1205;1851-779X,Synthesis (La Plata),research-article,NA,NA,2002,2009,"Human Sciences;Linguistics, Letters and Arts"
S0011-67932006000200010,0011-6793,0011-6793;1850-1699,"Darwiniana, nueva serie",research-article,2006,2006,2006,2009,Biological Sciences
S1851-30182005000100006,1851-3018,1851-3018,Revista industrial y agrícola de Tucumán,research-article,NA,NA,2005,2009,Agricultural Sciences
S0327-07932002000300007,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2001,2001,2002,2009,Exact and Earth Sciences
S0327-50942005000100009,0327-5094,0327-5094;1850-2628,Temas medievales,research-article,NA,NA,2005,2009,"Human Sciences;Linguistics, Letters and Arts"
S0327-07932003000100007,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,NA,NA,2003,2009,Exact and Earth Sciences
S0073-34072003000200005,0073-3407,0073-3407;1850-4884,El hornero,research-article,2003,2003,2003,2009,Biological Sciences
S1850-15322007000200001,1850-1532,1850-1532,Revista argentina de neurocirugía,editorial,NA,NA,2007,2009,Health Sciences
S1851-17402003000100006,1851-1740,1514-8327;1851-1740,"Información, cultura y sociedad",book-review,NA,NA,2003,2009,Applied Social Sciences
S1851-37512006000100008,1851-3751,1851-3751,Memoria americana,research-article,2006,2006,2006,2009,Human Sciences
S0325-29572005000400003,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,research-article,NA,NA,2005,2009,Biological Sciences;Health Sciences
S1850-37482008000500016,1850-3748,1850-3748,Revista argentina de cardiología,book-review,NA,NA,2008,2010,Health Sciences
S1850-37482009000300014,1850-3748,1850-3748,Revista argentina de cardiología,letter,NA,NA,2009,2010,Health Sciences
S1851-88932002000100003,1851-8893,1851-8893,Orientación y sociedad,research-article,2001,2002,2002,2010,Human Sciences
S1852-38622008000300001,1852-3862,1852-3862,Insuficiencia cardíaca,editorial,NA,NA,2008,2010,Health Sciences
S1852-44782007000200011,1852-4478,1852-4478,Olivar,research-article,NA,NA,2007,2010,"Linguistics, Letters and Arts"
S1851-82652005000200005,1851-8265,1669-2381;1851-8265,Salud colectiva,research-article,2005,2005,2005,2010,Health Sciences
S0025-76802004000300007,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2004,2004,2004,2010,Health Sciences
S0025-76802004000500016,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),editorial,NA,NA,2004,2010,Health Sciences
S0025-76802004000400007,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),research-article,2003,2004,2004,2010,Health Sciences
S0325-00752006000200012,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,article-commentary,NA,NA,2006,2010,Health Sciences
S1851-96362009000200006,1851-9636,1851-9636,Análisis filosófico,research-article,NA,NA,2009,2010,Human Sciences
S1853-19702009000200001,1853-1970,1853-1970,Revista SAAP,research-article,NA,NA,2009,2010,Applied Social Sciences
S1515-59942009000100009,1515-5994,1515-5994,Mundo agrario,research-article,2008,2009,2009,2010,Applied Social Sciences;Human Sciences
S1851-37512009000200003,1851-3751,1851-3751,Memoria americana,research-article,2009,2009,2009,2010,Human Sciences
S0325-75412010000200013,0325-7541,0325-7541;1851-7617,Revista argentina de microbiología,rapid-communication,2009,2010,2010,2010,Biological Sciences
S1852-74342009000100016,1852-7434,1852-7434,Revista de la Asociación Argentina de Ortopedia y Traumatología,research-article,2008,NA,2009,2011,Health Sciences
S0025-76802010000300008,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),rapid-communication,2010,2010,2010,2011,Health Sciences
S1850-20672005000100005,1850-2067,1850-2067,Ciencia del suelo,research-article,2004,2005,2005,2011,Agricultural Sciences
S0025-76802010000400014,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),case-report,NA,NA,2010,2011,Health Sciences
S0004-48222009000200012,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2008,2009,2009,2011,Exact and Earth Sciences
S0004-48222008000200010,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2007,2008,2008,2011,Exact and Earth Sciences
S1853-63602003000100006,1853-6360,1853-6360;0328-1159,Revista de la Asociación Argentina de Sedimentología,research-article,2002,2003,2003,2011,Exact and Earth Sciences
S1852-62332010000100002,1852-6233,1852-6233,BAG. Journal of basic and applied genetics,research-article,NA,NA,2010,2011,Biological Sciences;Health Sciences
S1852-99922011000200009,1852-9992,1852-9992,Revista argentina de radiología,case-report,2010,2011,2011,2011,Health Sciences
S1851-31232010000100001,1851-3123,1851-3123,Revista Pilquen,editorial,NA,NA,2010,2011,"Applied Social Sciences;Linguistics, Letters and Arts"
S0327-93832005000200004,0327-9383,0327-9383;1666-0536,Mastozoología neotropical,research-article,2005,2005,2005,2011,Biological Sciences
S1851-16862008000100014,1851-1686,1851-1686,Anuario de investigaciones,research-article,2008,2008,2008,2011,Human Sciences
S1851-16942007000100008,1851-1694,1851-1694,Avá,editorial,NA,NA,2007,2011,Applied Social Sciences
