scielo_id,ISSN_scielo,ISSN,journal,type,year_submitted,year_accepted,year_published,year_published_scielo,subject
S0524-97672007000100008,0524-9767,0524-9767;1850-2563,Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani,book-review,NA,NA,2007,2009,Human Sciences
S1850-275X2004000200010,1850-275X,1850-275X,Cuadernos de antropología social,research-article,2004,2004,2004,2009,Human Sciences
S1851-49792006000200002,1851-4979,1851-4979,Latin American journal of sedimentology and basin analysis,research-article,2005,2006,2006,2009,Exact and Earth Sciences
S0025-76802003000300006,0025-7680,0025-7680;1669-9106,Medicina (Buenos Aires),case-report,2002,2002,2003,2009,Health Sciences
S1851-94902006000100006,1851-9490,1851-9490,Estudios de filosofía práctica e historia de las ideas,research-article,NA,NA,2006,2009,Human Sciences
S1850-15322007000300020,1850-1532,1850-1532,Revista argentina de neurocirugía,research-article,NA,NA,2007,2009,Health Sciences
S0073-34072005000100004,0073-3407,0073-3407;1850-4884,El hornero,research-article,2005,2005,2005,2009,Biological Sciences
S1515-59942008000200004,1515-5994,1515-5994,Mundo agrario,research-article,2008,2009,2008,2009,Applied Social Sciences;Human Sciences
S1515-59942008000100002,1515-5994,1515-5994,Mundo agrario,research-article,2007,NA,2008,2009,Applied Social Sciences;Human Sciences
S1515-59942006000200013,1515-5994,1515-5994,Mundo agrario,book-review,NA,NA,2006,2009,Applied Social Sciences;Human Sciences
S1853-63792011000100004,1853-6379,1853-6379,Argos,research-article,2011,2011,2011,2012,Human Sciences
S1850-00132007000100007,1850-0013,1850-0013,Revista iberoamericana de ciencia tecnología y sociedad,research-article,NA,NA,2007,2009,Human Sciences
S1669-32482006000100001,1669-3248,1669-3248,Revista argentina de sociología,editorial,NA,NA,2006,2009,Human Sciences
S0325-29572004000300011,0325-2957,0325-2957;1851-6114,Acta bioquímica clínica latinoamericana,research-article,NA,NA,2004,2009,Biological Sciences;Health Sciences
S0002-70142008000200013,0002-7014,0002-7014;1851-8044,Ameghiniana,research-article,2007,2008,2008,2010,Exact and Earth Sciences
S1850-37482006000100017,1850-3748,1850-3748,Revista argentina de cardiología,book-review,NA,NA,2006,2010,Health Sciences
S1850-373X2007000100007,1850-373X,1850-373X,Intersecciones en antropología,research-article,2005,2006,2007,2010,Human Sciences
S1852-38622008000100013,1852-3862,1852-3862,Insuficiencia cardíaca,brief-report,NA,NA,2008,2010,Health Sciences
S1852-44782009000100001,1852-4478,1852-4478,Olivar,research-article,NA,NA,2009,2010,"Linguistics, Letters and Arts"
S1850-37482005000400005,1850-3748,1850-3748,Revista argentina de cardiología,research-article,2004,2005,2005,2010,Health Sciences
S0325-00752008000100010,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,research-article,2006,2007,2008,2010,Health Sciences
S0325-00752005000500016,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,brief-report,NA,NA,2005,2010,Health Sciences
S0325-00752010000100017,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,case-report,2008,2009,2010,2010,Health Sciences
S1853-001X2007000200005,1853-001X,1853-001X,Mora (Buenos Aires),brief-report,NA,NA,2007,2010,Applied Social Sciences;Human Sciences
S1853-001X2009000100008,1853-001X,1853-001X,Mora (Buenos Aires),book-review,NA,NA,2009,2010,Applied Social Sciences;Human Sciences
S1850-15322006000300003,1850-1532,1850-1532,Revista argentina de neurocirugía,research-article,2006,2006,2006,2010,Health Sciences
S1515-59942009000100002,1515-5994,1515-5994,Mundo agrario,research-article,2008,2009,2009,2010,Applied Social Sciences;Human Sciences
S1667-782X2001000200005,1667-782X,1667-782X,Ecología austral,research-article,2001,2001,2001,2010,Biological Sciences
S0373-56802010000100001,0373-5680,0373-5680;1851-7471,Revista de la Sociedad Entomológica Argentina,research-article,2009,2009,2010,2010,Biological Sciences
S1852-74342010000200006,1852-7434,1852-7434,Revista de la Asociación Argentina de Ortopedia y Traumatología,research-article,2009,2010,2010,2011,Health Sciences
S0325-00752011000100024,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,book-review,NA,NA,2011,2011,Health Sciences
S1850-20672005000100003,1850-2067,1850-2067,Ciencia del suelo,research-article,2004,2005,2005,2011,Agricultural Sciences
S1852-04992010000100009,1852-0499,1852-0499,Prismas,book-review,NA,NA,2010,2011,Human Sciences
S0004-48222005000200008,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2004,2005,2005,2011,Exact and Earth Sciences
S0004-48222009000500010,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2009,2009,2009,2011,Exact and Earth Sciences
S0328-12052010000100007,0328-1205,0328-1205;1851-779X,Synthesis (La Plata),research-article,NA,NA,2010,2011,"Human Sciences;Linguistics, Letters and Arts"
S1851-17402010000200003,1851-1740,1514-8327;1851-1740,"Información, cultura y sociedad",research-article,2010,2010,2010,2011,Applied Social Sciences
S0327-95452007000100007,0327-9545,0327-9545;1667-5746,Biocell,research-article,2006,2006,2007,2011,Biological Sciences
S1852-96152010000100001,1852-9615,1852-9615,Cuadernos del CILHA,editorial,NA,NA,2010,2011,"Linguistics, Letters and Arts"
S0327-93832009000200017,0327-9383,0327-9383;1666-0536,Mastozoología neotropical,research-article,2007,2009,2009,2011,Biological Sciences
S1851-16862008000100021,1851-1686,1851-1686,Anuario de investigaciones,research-article,2008,2008,2008,2011,Human Sciences
S1853-31752008000100004,1853-3175,1853-3175,Cuyo,research-article,NA,NA,2008,2011,Human Sciences
S1850-37482011000100012,1850-3748,1850-3748,Revista argentina de cardiología,research-article,NA,NA,2011,2011,Health Sciences
S1850-66662009000200006,1850-6666,1850-6666,Revista electrónica de investigación en educación en ciencias,research-article,NA,NA,2009,2011,Human Sciences
S1850-37482008000300004,1850-3748,1850-3748,Revista argentina de cardiología,research-article,2007,2008,2008,2011,Health Sciences
S0004-48222011000100003,0004-4822,0004-4822;1851-8249,Revista de la Asociación Geológica Argentina,research-article,2009,2010,2011,2011,Exact and Earth Sciences
S1851-23722008000100015,1851-2372,1851-2372,Boletín de la Sociedad Argentina de Botánica,research-article,2007,2008,2008,2011,Biological Sciences
S0325-00752011000600012,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,case-report,2011,2011,2011,2012,Health Sciences
S0325-00752012000100011,0325-0075,0325-0075;1668-3501,Archivos argentinos de pediatría,undefined,2011,2011,2012,2012,Health Sciences
S1852-38622006000200004,1852-3862,1852-3862,Insuficiencia cardíaca,news,NA,NA,2006,2012,Health Sciences
S0327-93832011000200001,0327-9383,0327-9383;1666-0536,Mastozoología neotropical,editorial,NA,NA,2011,2012,Biological Sciences
S1852-73532009000100005,1852-7353,1852-7353,Revista latinoamericana de filosofía,research-article,2008,2008,2009,2012,Human Sciences
S1852-73292011000100004,1852-7329,1852-7329,Multequina,research-article,2010,2011,2011,2012,Agricultural Sciences;Biological Sciences
S0327-07932011000100014,0327-0793,0327-0793;1851-8796,Latin American applied research,research-article,2009,2010,2011,2012,Exact and Earth Sciences
S1853-12962011000200005,1853-1296,1853-1296,La zaranda de ideas,brief-report,NA,NA,2011,2012,Applied Social Sciences
S1852-236X2011000100006,1852-236X,1852-236X,Revista americana de medicina respiratoria,research-article,2010,2011,2011,2012,Health Sciences
S1851-37512012000100001,1851-3751,1851-3751,Memoria americana,brief-report,NA,NA,2012,2012,Human Sciences
